code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
603300,华铁科技,0.14,-6.67,,,,2115.66,-5.43,,05-28
603306,华懋科技,0.29,28.3,,4.25,,4010.38,71.07,,04-21
603308,应流股份,0.04,-50.0,,0.94,,1716.1,-44.93,,04-29
603309,维力医疗,0.16,0.62,,2.75,,1355.34,11.48,,04-28
603311,金海环境,0.09,12.5,1.89,4.89,0.05,1442.95,17.43,,05-15
603315,福鞍股份,0.13,5.56,,2.51,,998.03,5.74,,04-30
603318,派思股份,-0.05,-0.0,,-1.49,,-425.16,-9.75,,04-29
603322,超讯通信,-0.02,-118.18,,-0.62,,-124.62,-118.81,,07-14
603328,依顿电子,0.19,,,2.31,,9276.73,22.38,,04-29
603333,明星电缆,-0.01,-75.86,,-0.23,,-342.02,-77.17,,04-28
603338,浙江鼎力,0.48,11.63,,6.16,,2316.48,11.41,,04-30
603339,四方冷链,0.19,,,4.69,0.57,2984.14,,,05-18
603355,莱克电气,0.25,4.17,4.45,,0.32,9154.87,5.61,,05-12
603366,日出东方,0.08,-50.0,,0.91,,3229.44,-48.42,,04-17
603368,柳州医药,0.37,-13.95,,3.51,,4128.8,7.87,,04-28
603369,今世缘,0.55,,,7.52,,27709.32,1.45,,04-30
603377,东方时尚,0.15,,,7.37,,5714.85,,,04-29
603398,邦宝益智,0.23,,,8.22,,1655.22,,,04-28
603399,新华龙,-0.05,-350.0,,-1.63,,-1792.46,-350.27,,04-23
603456,九洲药业,0.2,0.0,,2.53,,4052.18,27.71,,04-30
603508,思维列控,0.35,,,5.27,,4168.05,,,04-26
603518,维格娜丝,0.28,-9.68,,3.13,,4094.19,18.39,,04-28
603519,立霸股份,0.25,4.17,,3.79,,1473.23,3.29,,04-28
603520,司太立,0.38,,,7.85,,3440.21,,,04-28
603528,多伦科技,0.57,,,18.97,0.2,8891.51,,,04-29
603555,贵人鸟,0.12,0.56,,3.37,,7659.01,0.6,,04-28
603558,健盛集团,0.3,7.14,,4.67,,2014.35,21.86,,04-20
603566,普莱柯,0.39,,,6.61,,4674.54,,,04-30
603567,珍宝岛,0.08,166.67,5.55,1.25,,2760.16,181.23,,04-23
603568,伟明环保,0.17,30.77,,6.93,,7021.22,34.56,,05-11
603569,长久物流,0.19,,,8.44,,6738.68,,,07-21
603588,高能环境,-0.13,-23.53,,-1.27,,-2169.33,5.27,,04-25
603589,口子窖,0.31,,,7.0,,17527.86,,,04-28
603598,引力传媒,0.11,,,3.55,,1147.87,,,04-28
603599,广信股份,0.35,,,3.53,,4995.41,,,04-26
603600,永艺股份,0.24,5900.0,,5.19,,2177.64,7652.33,,04-29
603601,再升科技,0.05,-70.78,,1.18,,316.71,-63.35,,04-28
603606,东方电缆,0.05,-16.67,,0.95,,733.28,4.71,,04-30
603608,天创时尚,0.06,,,1.89,,1304.45,,,04-26
603609,禾丰牧业,0.09,,,2.03,,4874.04,147.25,,04-29
603611,诺力股份,0.27,42.11,,2.77,,1946.47,72.85,,04-28
603616,韩建河山,0.1,-5.97,,,,1055.73,-6.02,,06-10
603618,杭电股份,0.13,8.33,,2.41,,2348.82,12.16,,04-28
603636,南威软件,-0.03,-57.14,,-0.4,,-318.35,-41.23,,04-27
603663,三祥新材,0.06,,,2.82,,628.8,,,07-11
603669,灵康药业,0.14,,,7.89,,2778.34,,,04-28
603678,火炬电子,0.15,-6.25,,3.58,,2278.11,15.13,,04-22
603686,龙马环卫,0.32,3.23,,4.92,,3949.75,27.37,,04-27
603688,石英股份,0.08,-1.06,,1.59,,1882.38,31.95,,04-30
603696,安记食品,0.12,,4.03,3.11,0.07,1110.82,,,06-25
603698,航天工程,0.05,-64.29,,1.21,,2022.77,-57.69,,04-29
603699,纽威股份,0.17,-5.56,,5.13,,12587.77,-3.2,,04-29
603701,德宏股份,0.24,,,5.52,,1421.55,,,04-28
603703,盛洋科技,0.06,,,1.48,,404.9,,,04-25
603718,海利生物,0.14,-6.67,2.09,,0.18,2900.9,-8.32,,05-14
603726,朗迪集团,0.16,,,2.84,,1101.48,,,04-28
603729,龙韵股份,-0.05,-50.0,,-1.81,,-329.52,-31.47,,04-30
603737,三棵树,-0.28,,,-4.69,,-2117.83,,,05-16
603766,隆鑫通用,0.2,9.23,,3.83,,15856.73,9.51,,04-25
603778,乾景园林,0.09,,,1.2,,545.03,,,04-30
603779,威龙股份,0.04,,,,,611.55,,,05-13
603788,宁波高发,0.21,-8.7,,4.82,,2689.48,15.15,,04-22
603789,星光农机,0.16,,,4.49,,2443.73,,,04-29
603798,康普顿,0.37,,,10.3,,2767.76,,,04-27
603799,华友钴业,0.03,,,0.64,,1612.24,-46.41,,04-28
603800,道森股份,0.14,,,4.29,,2167.21,,,04-23
603806,福斯特,0.27,-10.0,,2.81,,10831.14,5.62,,04-30
603808,歌力思,0.28,0.97,,5.0,,3375.47,0.97,,04-29
603818,曲美家居,0.03,-50.0,3.32,1.03,,630.68,-38.22,,04-21
603822,嘉澳环保,0.05,,,,,299.94,,,04-27
603828,柯利达,0.24,14.29,,3.81,,2470.89,31.29,,04-30
603838,四通股份,0.16,,,4.53,,1584.21,,,04-28
603843,正平股份,-0.05,,,-1.54,,-960.51,,,07-25
603861,白云电器,0.08,,,2.34,,2888.68,,,04-30
