code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
000550,江铃汽车,1.6161,1.2809,110.602,-4928.7642,60.7238,39.2762
000551,创元科技,1.2366,0.7845,40.8193,803.9244,49.5024,50.4976
000552,靖远煤电,0.6453,0.5734,18.3593,722.6327,30.3384,69.6616
000553,沙隆达A,1.4362,0.9006,33.5189,224.7689,51.6416,48.3584
000554,泰山石油,5.4491,3.6932,130.3924,14026.0632,92.4597,7.5403
000555,神州信息,0.6287,0.444,0.0342,140.1008,-44.5516,144.5516
000557,西部创业,0.0677,0.0515,0.4778,-22.0733,-190.836,290.836
000558,莱茵体育,0.8091,0.1429,3.0831,-248.9717,23.6842,76.3158
000559,万向钱潮,1.3657,0.9036,38.4499,628.5286,47.6717,52.3283
000560,昆百大A,0.8801,0.2955,14.9328,150.297,6.8714,93.1286
000561,烽火电子,0.194,0.0817,1.2416,-235.042,-107.2202,207.2202
000563,陕国投A,--,--,--,-104.9677,25.8149,0
000564,供销大集,0.5207,0.4944,47.8843,719.1374,52.7066,47.2934
000565,渝三峡A,2.0414,1.7742,65.0663,30.25,64.5201,35.4799
000566,海南海药,1.3774,0.9494,4.6672,925.6731,57.7084,42.2916
000567,海德股份,1.6681,0.2979,14.0692,216.0042,26.7211,73.2789
000568,泸州老窖,1.8919,0.7266,36.987,3150.1688,64.0547,35.9453
000570,苏常柴A,1.2825,1.0604,55.2492,1668.3459,50.3754,49.6246
000571,新大洲A,1.1846,0.6819,31.6711,3922.4296,52.5379,47.4621
000572,海马汽车,1.6598,0.794,33.0648,4861.7537,42.3225,57.6775
000573,粤宏远A,1.8906,0.6134,16.0627,116.8521,64.6892,35.3108
000576,广东甘化,0.7587,0.3562,8.1629,-77.6647,40.3367,59.6633
000581,威孚高科,1.2874,0.9623,39.5258,560.759,54.6266,45.3734
000582,北部湾港,1.0254,1.0222,24.674,125.0354,51.5942,48.4058
000584,友利控股,0.5052,0.294,12.4834,169.8213,41.5963,58.4037
000585,东北电气,1.7926,1.6098,26.0295,1139.6244,72.5516,27.4484
000586,汇源通信,1.3728,1.0639,9.932,-246.1705,42.0684,57.9316
000587,金洲慈航,0.8869,0.6938,4.3299,7.461,4.4307,95.5693
000589,黔轮胎A,0.969,0.6795,12.4984,203.6996,32.8252,67.1748
000590,启迪古汉,0.948,0.6875,7.9783,-10.68,41.1106,58.8894
000591,太阳能,0.8675,0.6359,34.3033,218.3186,19.2658,80.7342
000592,平潭发展,0.3454,0.2543,0.4459,-24.6679,-170.5503,270.5503
000593,大通燃气,0.4422,0.3878,12.43,147.4069,43.7091,56.2909
000595,*ST宝实,1.4233,1.012,0.2841,146.1495,39.5269,60.4731
000596,古井贡酒,1.7875,0.4546,12.7188,271.6606,62.7077,37.2923
000597,东北制药,1.3305,0.9938,22.3889,173.2502,41.9394,58.0606
000598,兴蓉环境,1.2361,0.9382,38.8716,154.9634,44.9579,55.0421
000599,青岛双星,0.7787,0.4657,8.627,306.2908,37.5821,62.4179
000600,建投能源,0.5216,0.4342,11.1415,282.5328,30.7566,69.2434
000601,韶能股份,0.6432,0.5272,14.751,172.0004,41.7059,58.2941
000603,盛达矿业,0.2384,0.2235,0.3956,333.1986,43.1811,56.8189
000605,渤海股份,0.6672,0.6266,0.6656,-85.1677,30.0854,69.9146
000606,神州易桥,0.7117,0.3945,4.619,231.064,55.1858,44.8142
000607,华媒控股,1.1188,0.9317,24.177,222.1892,36.499,63.501
000608,阳光股份,1.9459,0.4949,42.2682,2137.5273,38.2812,61.7188
000609,绵石投资,4.3805,2.4822,225.8727,-2372.8301,65.4655,34.5345
000610,西安旅游,1.6999,1.6396,85.4415,368.0095,79.9913,20.0087
000611,*ST天首,1.1911,0.8494,18.4195,415.5871,58.0065,41.9935
000612,焦作万方,0.6617,0.2984,19.6177,247.3098,30.8076,69.1924
000613,*ST东海A,0.1903,0.1885,0.7442,49.0814,-30.6274,130.6274
000615,京汉股份,1.1913,0.6568,13.9121,227.0978,54.1228,45.8772
000616,海航投资,1.5516,0.4776,3.2253,-415.563,27.6728,72.3272
000617,中油资本,1.371,0.7894,27.8603,2920.1087,37.1474,62.8526
000619,海螺型材,1.2737,0.816,45.0094,561.9411,60.984,39.016
000620,新华联,0.1364,0.0968,0.7423,-340.1938,-169.9498,269.9498
000622,*ST恒立,0.4217,0.3454,1.6571,-74.8634,-39.9847,139.9847
000623,吉林敖东,0.9545,0.7395,17.4608,1322.7724,67.8399,32.1601
000625,长安汽车,1.1127,0.7595,34.3574,1655.0589,43.4151,56.5849
000626,远大控股,1.1886,0.7582,26.0279,406.8838,26.7956,73.2044
000627,天茂集团,1.2536,0.8702,6.8308,204.7214,67.057,32.943
000628,高新发展,0.9736,0.4373,13.519,118.2689,24.4909,75.5091
000629,*ST钒钛,0.9782,0.3988,3.7641,763.1088,56.4527,43.5473
000630,铜陵有色,1.1103,0.5075,19.2901,1105.9098,43.8746,56.1254
000631,顺发恒业,0.3486,0.2887,0.429,-110.1973,-8.6236,108.6236
000632,三木集团,1.1726,0.6393,7.8055,214.4078,18.5037,81.4963
000633,*ST合金,0.4506,0.42,2.5856,-75.1635,-27.7181,127.7181
000635,英力特,0.2222,0.1497,5.8109,263.4301,25.3206,74.6794
000636,风华高科,1.439,1.0168,13.0055,305.3234,64.3552,35.6448
000637,茂化实华,3.3922,2.4573,146.3431,-3827.7614,89.27,10.73
000638,万方发展,--,--,--,-62.7406,-231.813,--
000639,西王食品,1.2376,1.0154,55.9459,311.9336,49.8687,50.1313
000650,仁和药业,--,--,--,-462.1499,6.2539,--
000651,格力电器,1.0014,0.6919,28.9123,14574.3597,18.4424,81.5576
000652,泰达股份,1.25,0.9883,60.8383,235.8558,34.3666,65.6334
000655,金岭矿业,0.9003,0.5882,4.4114,-98.3374,19.6194,80.3806
000656,金科股份,--,--,--,1149530.4657,72.0908,--
000657,中钨高新,1.9317,0.6337,8.8556,39.5358,53.8141,46.1859
000659,珠海中富,0.7099,0.4267,18.5341,243.8109,46.9769,53.0231
000661,长春高新,1.2387,0.7434,9.9629,167.7347,27.742,72.258
000662,天夏智慧,1.6644,1.1547,23.962,834.3253,55.175,44.825
000663,永安林业,0.896,0.5894,10.4866,314.3508,35.0386,64.9614
000665,湖北广电,0.5961,0.4386,5.0217,59.2425,17.0532,82.9468
000666,经纬纺机,1.5037,0.876,23.0764,1215.4062,51.0189,48.9811
000667,美好置业,2.2194,0.7535,25.8703,2271.3813,56.43,43.57
000668,荣丰控股,1.1025,0.3672,12.322,686.7147,61.9771,38.0229
000669,金鸿能源,--,--,--,821.9209,32.403,--
000670,盈方微,0.2966,0.2684,1.2523,-160.4971,26.4661,73.5339
000671,阳光城,1.966,1.1288,21.9777,2952.4407,48.8265,51.1735
000672,上峰水泥,0.3192,0.317,0.6318,-76.9115,21.058,78.942
000673,当代东方,1.5377,1.2513,1.2993,-282.7669,38.9898,61.0102
000676,智度股份,1.181,0.9422,47.4432,137.8726,33.8098,66.1902
000677,恒天海龙,0.5636,0.3976,18.4586,160.583,23.2223,76.7777
000678,襄阳轴承,1.1766,0.7413,1.3792,999.1622,53.9657,46.0343
000679,大连友谊,1.2206,0.9833,41.904,335.655,41.9044,58.0956
000680,山推股份,1.591,0.9653,33.2969,2180.437,59.5144,40.4856
000681,视觉中国,7.1959,6.1552,209.4576,-18786.0846,91.8292,8.1708
000682,东方电子,4.186,3.6482,148.4259,-9.4937,86.3554,13.6446
000683,远兴能源,0.3467,0.2149,2.6864,133.9741,19.8383,80.1617
000685,中山公用,3.24,2.8859,156.6626,1255.4771,89.679,10.321
000686,东北证券,2.7124,2.0598,64.1826,5187.6946,88.7022,11.2978
000687,华讯方舟,0.9753,0.3828,17.6914,-331.1926,70.141,29.859
000688,建新矿业,0.1587,0.1291,0.253,-42.4302,-102.8722,202.8722
000690,宝新能源,1.0017,0.5711,16.0099,418.7902,28.7991,71.2009
000691,ST亚太,0.7381,0.5408,10.4939,40.0338,57.8624,42.1376
000692,惠天热电,0.7383,0.6495,5.3514,-389.2289,41.592,58.408
000693,ST华泽,0.6632,0.6242,1.6511,-76.5086,19.1905,80.8095
000695,滨海能源,0.9275,0.8347,25.8024,1120.9058,43.8682,56.1318
000697,炼石有色,1.4034,1.1091,43.0404,244.3067,49.4176,50.5824
000698,沈阳化工,0.8977,0.7051,27.4232,556.4426,40.1046,59.8954
000700,模塑科技,0.7959,0.694,42.3427,348.2093,41.4514,58.5486
000701,厦门信达,1.2392,0.9882,15.673,299.4776,31.9911,68.0089
000702,正虹科技,0.9802,0.6345,15.4325,310.0418,42.1319,57.8681
000703,恒逸石化,0.9942,0.6943,16.4885,269.9323,37.9011,62.0989
000705,浙江震元,1.2134,0.8044,24.9099,299.4338,55.577,44.423
000707,双环科技,1.087,0.8498,42.2563,-512.4692,66.678,33.322
000708,大冶特钢,0.807,0.4069,4.2493,514.0427,34.1087,65.8913
000709,河钢股份,1.0651,0.789,37.9532,308.2645,35.6604,64.3396
000710,*ST天仪,1.0296,0.7267,4.7537,113.2626,42.1868,57.8132
000711,京蓝科技,1.7978,0.4971,28.4574,-572.8943,64.8709,35.1291
000712,锦龙股份,1.6055,0.2978,14.0493,175.0196,30.0823,69.9177
000713,丰乐种业,1.0444,0.4202,18.2987,380.6578,39.4772,60.5228
000715,中兴商业,0.8662,0.7396,65.2357,2342.1779,77.889,22.111
000716,黑芝麻,--,--,--,188.4817,26.3032,--
000717,韶钢松山,0.6154,0.2218,16.5712,189.5667,40.4546,59.5454
000718,苏宁环球,1.2772,0.4192,29.6889,-248.6125,23.8295,76.1705
000719,大地传媒,--,--,--,-973.3031,26.5778,--
000720,新能泰山,0.6252,0.5591,10.7977,167.4633,37.1055,62.8945
000721,西安饮食,--,--,--,420.8902,34.6613,--
000722,湖南发展,0.9262,0.5773,27.8241,108.6527,57.4283,42.5717
000723,美锦能源,1.2342,0.8635,13.4947,148.768,37.3115,62.6885
000725,京东方A,0.9098,0.5652,27.1143,-329.6319,14.7881,85.2119
000726,鲁泰A,0.7277,0.3639,17.1774,383.2129,42.7543,57.2457
000727,华东科技,0.5118,0.4408,8.0791,291.9302,52.6163,47.3837
000728,国元证券,1.7315,1.3267,68.6954,19090.2056,83.0534,16.9466
000729,燕京啤酒,1.2391,0.6654,29.581,284.2343,65.7288,34.2712
000731,四川美丰,0.8259,0.6684,43.0127,1379.1505,69.1257,30.8743
000732,泰禾集团,0.1866,0.1099,1.2871,6.0435,-205.5474,305.5474
000733,振华科技,2.2078,1.5593,50.7998,596.7984,74.0337,25.9663
