code,name,mbrg,nprg,nav,targ,epsg,seg
000581,威孚高科,4.9211,15.315999999999999,10.788,16.1944,16.7939,11.0411
000581,威孚高科,4.9211,15.316,10.788,16.1944,16.7939,11.0411
000582,北部湾港,30.5967,17.2414,12.3992,27.2126,0.8403,12.554
000584,哈工智能,110.9595,22.192,6.0794,21.9683,64.0432,5.948
000584,哈工智能,110.9595,22.191999999999997,6.0794,21.9683,64.0432,5.9479999999999995
000585,*ST东电,-18.8294,,-201.8773,-15.8461,-119.2982,-206.5128
000586,汇源通信,-17.8134,,-1.0034,-6.4327,380.0,-0.7941
000587,金洲慈航,96.7019,-80.2568,3.4164,-0.9905,-88.5714,7.7977
000589,黔轮胎A,7.0767,313.3568,-6.0989,4.767,300.0,-6.6355
000589,黔轮胎A,7.0767,313.3568,-6.0989,4.7669999999999995,300.0,-6.6355
000590,启迪古汉,-37.0016,-71.2755,5.4176,-1.2483,-76.699,5.9014
000591,太阳能,-13.847,10.4886,5.8636,2.0771,12.2418,6.007999999999999
000591,太阳能,-13.847000000000001,10.4886,5.8636,2.0771,12.2418,6.007999999999999
000592,平潭发展,29.9768,,-1.2148,18.3009,229.4118,0.5296
000593,大通燃气,36.9836,-2.5262,1.0497,4.5004,3.8462,0.3867
000595,宝塔实业,25.7023,-21.3416,16.2388,34.5553,-58.8235,4.6966
000596,古井贡酒,30.3247,60.0094,16.4296,16.7932,62.3853,16.8473
000597,东北制药,35.5415,181.545,40.9786,15.7319,187.5,43.4685
000598,兴蓉环境,10.5373,19.1003,9.637,7.7414,20.0,8.0632
000599,青岛双星,-4.6037,-19.0007,36.7023,20.337,-12.5,37.8754
000600,建投能源,42.817,-13.1782,1.5544,9.3157,-19.8473,-0.2383
000601,韶能股份,-7.6774,-36.1466,2.6153,6.392,-36.6655,2.0429
000603,盛达矿业,76.708,2.3943,15.7799,24.8825,30.7692,13.4489
000605,渤海股份,7.0867,-57.283,4.1565,15.0565,-33.3333,5.3707
000606,顺利办,46.2708,,2.0384,9.297,-255.8648,2.4954
000607,华媒控股,-1.5298,15.9214,-0.0363,4.4454,0.0,1.1849
000608,阳光股份,-57.4235,,2.4427,-28.6598,-172.7273,9.1963
000609,中迪投资,-93.3836,-104.8287,-0.7822,30.5669,-104.6512,-0.7988
000610,西安旅游,7.5148,,-2.6745,-9.423,-7.8176,-2.652
000610,西安旅游,7.5148,,-2.6745,-9.423,-7.8176,-2.6519999999999997
000611,天首发展,-52.7946,,38.7827,159.0573,254.6154,-7.9511
000612,焦作万方,-4.8247,-228.1338,-2.8817,2.0017,-227.4725,-2.8817
000613,大东海A,7.1386,-25.4231,3.1869,-8.559,-25.5319,3.1869
000615,京汉股份,51.0179,,53.5957,30.4905,-110.8108,16.8391
000616,海航投资,137.504,-343.34,-2.8532,-0.5941,-300.0,-3.3233
000617,中油资本,71.0002,8.857000000000003,6.1271,10.0356,12.5,6.4771
000619,海螺型材,-2.9327,-25.4663,0.0983,-5.7716,13.8462,0.3841
000620,新华联,33.6113,-26.3947,10.2475,13.4094,-30.0,6.8144
000622,恒立实业,72.551,,-4.8958,-0.8914,-51.3369,-5.131
000623,吉林敖东,28.954,-33.2944,7.4643,16.7511,-33.3333,7.572
000625,长安汽车,6.2214,-65.3456,5.0335,-6.4053,-64.5833,4.9118
000626,远大控股,-36.0959,-113.9208,-23.2817,-36.2286,-115.0436,-18.3517
000627,天茂集团,14.1274,16.6773,29.8254,27.3178,13.3333,40.4922
000628,高新发展,23.87,-29.0928,7.54,-16.0132,-20.0,3.0381
000629,攀钢钒钛,60.2781,166.3529,40.9254,-0.7134,176.6529,41.9298
000630,铜陵有色,6.2659,45.9467,5.0007,12.8959,77.2727,3.2187
000631,顺发恒业,-47.1652,151.5421,7.9846,-9.0384,158.3333,8.1076
000632,三木集团,64.5767,144.035,4.9328,-0.1912,175.9259,2.6694
000633,合金投资,40.1941,,-12.022,3.6383,-37.2703,-10.8943
000635,英力特,-0.3375,20.7955,3.4028,3.6015,21.7391,3.4028
000636,风华高科,41.3782,257.625,7.6073,-1.5382,283.3333,7.3266
000637,茂化实华,-10.0807,-52.6961,6.8126,17.5807,-55.4455,8.2367
000638,万方发展,-46.0938,-263.6158,26.1142,-48.8038,-416.6667,9.1845
000639,西王食品,-4.2538,13.4623,56.8482,34.5911,19.3548,102.0166
000650,仁和药业,26.6779,43.8341,11.1005,15.2633,51.1877,12.1711
000651,格力电器,31.4978,35.5871,48.7177,7.0822,35.6688,49.3065
000652,泰达股份,-11.2631,218.7963,11.3809,5.7352,21.519,6.5415
000652,泰达股份,-11.2631,218.7963,11.3809,5.7352,21.519000000000002,6.5415
000655,*ST金岭,-17.5295,-31.6383,-12.5219,-14.5714,-28.125,-12.396
000655,*ST金岭,-17.5295,-31.6383,-12.5219,-14.5714,-28.125,-12.395999999999999
000656,金科股份,49.2618,60.1664,31.4555,38.8396,83.3333,1.3412
000657,中钨高新,24.3649,23.6241,4.7573,8.0957,25.5091,4.5388
000659,珠海中富,5.1281,-32.9059,23.089,-4.9054,-24.6914,34.5449
000659,珠海中富,5.1281,-32.9059,23.089000000000002,-4.9054,-24.6914,34.5449
000661,长春高新,71.8197,87.009,20.3861,20.2527,92.8144,19.4859
000662,天夏智慧,3.0226,-27.4094,9.5787,22.3701,-29.0215,9.5787
000663,永安林业,-17.872,-522.0104,0.6128,-5.6725,-550.0,0.4811
000665,湖北广电,12.7866,-7.2383,5.4996,19.2976,-9.6774,4.617
000666,经纬纺机,27.58,-30.7942,18.0846,3.2453,-39.4366,11.5111
000667,美好置业,-76.9592,-38.7836,13.9098,30.0556,-24.6587,7.6746
000668,荣丰控股,2140.1664,,3.1502,28.5607,-200.0,2.8809
000669,金鸿控股,25.1245,4.228,5.8751,2.8733,-24.0079,4.769
000670,盈方微,-52.2953,-1224.8511,-53.691,-46.1583,-1034.4262,-54.0404
000671,阳光城,102.0985,201.3323,43.8958,35.5861,212.5,56.3803
000672,上峰水泥,14.5326,101.7279,52.3826,8.297,96.875,57.1423
000673,当代东方,25.4446,144.7047,-8.8055,17.2468,361.2179,-2.7006
000676,智度股份,48.2334,99.7465,14.6199,3.7793,100.3984,14.6314
000677,恒天海龙,23.2347,-33.7024,0.8022,6.0134,-29.4118,0.3896
000678,襄阳轴承,3.5844,-150.8437,-0.4092,5.9354,-198.5222,-0.4534
000679,大连友谊,-52.4295,-1030.8443,-11.429,-2.9097,-846.4286,-9.0022
000680,山推股份,32.1902,45.9354,3.3784,3.0147,33.6283,2.7662
000681,视觉中国,25.8448,40.0991,12.898,15.4616,43.2869,12.1436
