code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300627,华测导航,通信设备,上海,61.26,0.3,1.19,50236.1,44568.78,1471.15,7094.58,0.6,0.857,3.44,15.26,20170321,12881.53,1.08,33.14,93.07,55.15,21.18,54911
300137,先河环保,环境保护,河北,75.92,2.96,3.44,171885.88,113964.77,23277.78,67777.0,1.97,0.203,4.13,4.98,20101105,35692.23,1.04,28.31,18.55,48.48,14.4,42820
300070,碧水源,环境保护,北京,106.73,20.09,31.23,2215032.0,1003041.38,39386.21,664504.56,2.13,0.141,4.59,4.36,20100421,404625.56,1.3,88.49,73.69,28.32,13.71,49947
002819,东方中科,电器仪表,北京,209.96,0.28,1.13,49701.75,44982.4,4450.35,12470.98,1.1,0.35,3.73,15.26,20161111,16614.6,1.47,10.25,-0.93,13.54,4.62,24320
000920,南方汇通,环境保护,贵州,64.93,4.22,4.22,178725.23,49466.76,52415.09,0.0,0.0,0.234,1.86,8.17,19990616,18160.1,0.43,11.58,17.3,43.94,9.77,27448
603303,得邦照明,家用电器,浙江,29.58,0.6,2.4,231999.02,179101.77,24227.9,9600.78,0.4,1.328,6.64,5.92,20170330,83048.4,3.46,-0.14,-6.59,20.79,9.88,54322
300636,同和药业,化学制药,江西,38.25,0.2,0.8,41896.05,21353.2,19087.25,12014.51,1.5,0.725,5.08,5.46,20170331,11218.73,1.4,-9.0,-7.77,38.71,23.19,36800
603822,嘉澳环保,环境保护,浙江,160.92,0.18,0.73,100023.11,43065.55,26160.97,24156.39,3.29,0.64,8.64,10.89,20160428,28476.43,3.88,-1.1,10.38,21.5,8.47,12908
603603,博天环境,环境保护,北京,149.91,0.4,4.0,489132.34,313059.56,0.0,0.0,0.0,0.23,2.35,19.55,20170217,0.0,0.0,0.0,0.0,23.81,5.15,36286
603616,韩建河山,其他建材,北京,0.0,1.47,2.93,180073.19,112468.92,44081.62,25627.39,0.87,-0.023,2.81,6.89,20150611,24164.25,0.82,-2.48,-229.44,23.4,-1.74,27173
600155,宝硕股份,其他建材,河北,0.0,4.13,17.4,2352259.25,1871050.38,24673.76,701816.31,4.03,-0.02,6.47,2.65,19980918,-51583.93,-0.3,7.16,-102.78,11.64,-3.08,22527
603903,中持股份,环境保护,北京,132.17,0.26,1.02,81299.31,44394.03,217.78,21098.67,2.06,0.456,5.64,10.7,20170314,13382.87,1.31,24.02,3.14,27.02,11.43,26734
002457,青龙管业,塑料,宁夏,227.78,2.54,3.35,291365.66,177669.61,44551.51,82078.68,2.45,0.063,5.36,2.69,20100803,56216.32,1.68,-3.3,-56.32,29.98,2.69,30482
601069,西部黄金,黄金,新疆,118.96,1.9,6.36,268841.34,74439.43,112012.38,50813.8,0.8,0.199,2.68,8.83,20150122,48790.17,0.77,9.74,107.84,37.58,11.37,69746
603385,惠达卫浴,家居用品,河北,31.26,0.71,2.84,330430.25,155838.48,107172.45,24274.18,0.85,0.74,9.08,2.55,20170405,137200.56,4.83,2.05,160.03,27.57,9.23,64444
300626,华瑞股份,电气设备,浙江,85.83,0.25,1.0,79888.31,47178.48,23902.28,8107.97,0.81,0.395,3.65,9.28,20170320,11470.96,1.15,1.68,75.11,20.82,5.75,49456
601200,上海环境,环境保护,上海,58.89,3.11,7.03,1189158.5,170768.63,34481.62,43149.98,0.61,0.662,6.96,5.6,20170331,179192.31,2.55,0.0,0.0,34.73,18.23,98764
000401,冀东水泥,水泥,河北,474.18,13.47,13.48,4148004.5,1067384.0,2332499.75,492174.91,3.65,0.039,7.41,2.51,19960614,257862.52,1.91,11.05,103.08,24.17,0.43,45265
603133,碳元科技,元器件,江苏,89.86,0.52,2.08,68831.32,43322.55,15079.5,12598.88,0.61,0.396,3.24,10.98,20170320,18411.78,0.89,40.6,51.09,30.32,17.67,14
300629,新劲刚,矿物制品,广东,63.52,0.17,0.67,39283.85,27371.24,9031.75,5031.68,0.75,0.402,4.23,6.03,20170324,10057.5,1.51,0.59,21.76,31.63,10.95,30744
603126,中材节能,环境保护,天津,72.27,2.18,6.11,339125.78,209863.55,87818.18,7177.46,0.12,0.213,2.45,6.3,20140731,71112.42,1.16,9.0,21.63,26.81,8.7,55247
300397,天和防务,通信设备,陕西,0.0,1.03,2.4,166787.16,109661.72,15840.55,52742.46,2.2,-0.205,4.9,5.96,20140910,38317.9,1.6,266.1,-88.33,31.1,-36.4,27360
002855,捷荣技术,塑料,广东,89.37,0.6,2.4,164321.38,113054.6,37191.48,21839.24,0.91,0.301,4.47,6.01,20170321,37180.89,1.55,-20.85,-12.37,18.02,3.93,104263
002774,快意电梯,运输设备,广东,64.18,0.84,3.35,89784.06,67999.3,13283.05,1699.9,0.05,0.294,1.83,10.31,20170324,13847.5,0.41,4.68,49.25,37.84,12.56,142948
600480,凌云股份,汽车配件,河北,52.47,3.62,4.51,1001463.38,566754.25,218483.2,173939.25,3.86,0.472,7.76,3.19,20030815,119861.97,2.66,22.82,54.96,20.1,2.39,40232
000615,京汉股份,全国地产,湖北,131.42,3.54,7.8,681726.13,573197.44,49251.95,0.0,0.0,0.14,2.18,8.44,19961016,72878.1,0.93,75.8,-54.04,17.75,2.57,24695
002342,巨力索具,机械基件,河北,482.01,8.66,9.6,407075.5,212725.7,139233.22,67299.28,0.7,0.021,2.52,4.11,20100126,66618.07,0.69,2.29,-23.94,23.09,1.51,69300
000856,冀东装备,机械基件,河北,152.65,2.27,2.27,164708.72,130025.81,7927.61,38870.01,1.71,0.102,1.29,12.07,19980813,-35909.87,-1.58,-24.29,111.39,8.61,2.16,11786
601000,唐山港,港口,河北,20.81,40.16,45.58,1750428.38,520669.41,1058363.13,189486.31,0.42,0.211,2.73,2.15,20100705,453559.84,0.99,31.71,15.46,30.65,19.51,96857
300632,光莆股份,半导体,福建,31.49,0.29,1.16,46965.71,23470.38,19792.46,4097.66,0.35,0.372,3.28,3.56,20170406,14619.11,1.26,0.0,0.0,31.43,13.42,53145
