code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
600369,西南证券,14.19,48.67,59.7829,601.808,0.316,1236.2541,0.6493
600370,三房巷,1.48,2.35,7.3461,16.6056,0.052,705.8243,2.2133
600371,万向德农,7.46,4.67,31.1097,23.8315,0.1537,510.1236,3.2911
600372,中航电子,5.63,3.78,21.2869,39.6682,0.0818,1047.7702,2.162
600373,中文传媒,-113.76,-17.13,-3.7265,-84.9266,-0.4529,495.6043,2.6432
600375,华菱星马,10.2,2.79,11.1599,53.0603,0.283,1895.5587,10.1106
600376,首开股份,4.66,15.31,49.1025,408.9473,0.3556,2670.199,2.3224
600377,宁沪高速,9.37,36.28,57.7541,1518.1562,0.3013,4184.1904,0.8305
600378,天科股份,5.2,7.06,28.1268,23.6546,0.0963,334.7264,1.3628
600379,宝光股份,2.33,2.3,24.7738,7.6145,0.0355,330.724,1.5424
600380,健康元,11.3,12.56,55.147,335.6738,0.3057,2670.4864,2.4324
600381,青海春天,,135.18,65.1484,51.0391,0.1665,37.7556,0.1232
600382,广东明珠,2.87,5.29,14.2797,23.7775,0.0695,448.9366,1.3136
600383,金地集团,5.49,14.77,39.1681,769.1267,0.3096,5207.0403,2.096
600385,山东金泰,,-304.3,38.4695,-6.8675,-0.0463,2.2568,0.0152
600386,北巴传媒,9.11,8.09,26.3719,87.8863,0.2179,1085.7879,2.6929
600387,海越股份,21.6,33.21,9.1397,200.5181,0.6751,603.6516,2.0324
600388,龙净环保,9.59,7.26,18.6401,179.6093,0.8639,2473.9175,11.8995
600389,江山股份,-7.25,-3.59,8.4409,-64.8695,-0.3276,1802.8451,9.1052
600390,*ST金瑞,-2.53,-2.34,11.2652,-17.3124,-0.1081,737.9357,4.6106
600391,成发科技,9.14,6.81,24.2147,51.6773,0.3935,757.8478,5.772
600392,盛和资源,3.41,5.09,23.086,17.2598,0.1102,338.5311,2.1617
600393,粤泰股份,4.87,5.08,26.4294,42.1474,0.1404,828.1445,2.7604
600395,盘江股份,13.13,20.16,37.1734,681.3152,0.6174,3378.9,3.0623
600396,金山股份,2.41,1.78,18.4551,24.8383,0.0729,1391.9225,4.0866
600397,安源煤业,0.27,0.25,26.511,1.6021,0.0059,621.8734,2.3098
600398,海澜之家,2.08,5.26,20.827,38.2232,0.0591,725.4614,1.1219
600399,抚顺特钢,0.86,0.45,7.8602,14.0736,0.027,3107.2373,5.9754
600400,红豆股份,1.42,2.56,22.229,18.0331,0.0418,702.4639,1.6295
600401,海润光伏,1.63,0.61,28.596,1.6964,0.0065,277.3447,1.0747
600403,*ST大有,6.11,7.45,50.9089,18.4546,0.1447,247.4274,1.9411
600405,动力源,6.4,6.19,36.9327,24.4683,0.1172,395.1558,1.8935
600406,国电南瑞,17.55,14.05,31.5199,170.526,0.6685,1213.6095,4.7581
600408,安泰集团,-7.23,-8.1,1.4623,-214.4008,-0.2129,2645.1425,2.6272
600409,三友化工,0.48,0.46,14.3446,12.0792,0.0128,2605.1082,2.7739
600410,华胜天成,9.78,6.46,19.4013,144.8039,0.314,2241.4125,4.8619
600415,小商品城,9.92,30.36,54.702,601.7626,0.8844,1981.6279,2.9124
600416,湘电股份,7.8,2.8,21.0117,98.8957,0.4208,3525.2822,15.0012
600418,江淮汽车,6.02,1.71,14.6304,255.5835,0.1983,14866.395,11.5356
600419,天润乳业,0.68,0.41,8.0116,1.0539,0.0131,254.8529,3.1793
600420,现代制药,9.65,5.96,29.4569,56.6197,0.1967,949.0115,3.2982
600421,仰帆控股,,-129.62,15.4832,-18.9193,-0.0967,14.5958,0.0746
600422,昆药集团,6.31,3.94,33.9753,40.8903,0.1301,1035.991,3.2974
600423,柳化股份,0.15,0.19,13.4637,2.06,0.0077,1080.2539,4.0575
600425,*ST青松,12.51,18.18,30.8531,185.4206,0.5026,1019.7384,2.7643
600426,华鲁恒升,12.43,11.48,21.0218,331.552,0.6687,2886.2736,5.822
600428,中远海特,2.39,3.47,9.5525,100.833,0.0769,2904.0828,2.2161
600429,三元股份,1.89,0.87,24.3133,16.0432,0.0252,1832.7863,2.8862
600432,*ST吉恩,2.8,11.15,30.5243,77.0558,0.1009,690.6484,0.9047
